Date,Open,High,Low,Close,Volume,bais_self,bais_oil,bais_CVX
2006/6/14,65.95,67.58,65.9,67.48,5343500,1.733755465,0.009345794,1.849242691
2006/6/15,68.5,71.05,68.5,70.85,8440100,4.994072318,0.009548611,2.766730071
2006/6/16,70.85,71.37,70.35,70.55,6862100,-0.423429781,-0.000429923,-1.211509339
2006/6/19,71,71.45,69.5,69.95,5341000,-0.850460666,-0.007741935,-2.043944813
2006/6/20,70.38,71.64,70.2,70.99,5368800,1.486776269,0.00130039,0
2006/6/21,70.99,73.45,70.98,72.47,5502200,2.084800676,0.011111111,1.338897583
2006/6/22,72.6,72.66,71.36,72.28,3360500,-0.262177453,0.007849294,0.652024708
2006/6/23,72.05,73.25,71.15,72.14,3331200,-0.193691201,-0.001699235,0.085236959
2006/6/26,72.4,72.96,71.58,72.48,2525900,0.471305794,0.016028369,1.652188724
2006/6/27,71.6,72.97,71.52,71.65,2586300,-1.145143488,0.005863465,0.703753351
2006/6/28,71.66,72.93,71.41,72.71,2922500,1.479413817,0.001387925,2.096505824
2006/6/29,72.85,74.69,72.68,74.4,5138300,2.324302022,0.018711019,1.776401565
2006/6/30,74.95,74.95,73.42,74.48,3921100,0.107526882,0.005986395,-0.6244996
2006/7/3,74.92,75.43,74.48,74.77,1908300,0.389366273,0.017040844,1.111827264
2006/7/5,73.7,73.8,72.88,73.13,5035800,-2.193393072,-0.002659574,1.800796813
2006/7/6,73.12,74.24,72.95,73.65,3175700,0.711062491,-0.016533333,0.156543519
2006/7/7,73.4,73.94,72.36,72.58,3334000,-1.452817379,-0.003524946,-0.46889653
2006/7/10,72.75,74.1,72.5,73.27,2609100,0.950675117,0.007482993,0.926507538
2006/7/11,73.28,73.61,72.59,73.4,3400100,0.177425959,0.012694126,1.602613972
2006/7/12,73.02,73.2,71.14,71.31,3876700,-2.847411444,0.02280304,-0.658499234
2006/7/13,71.06,71.07,69.65,69.7,4981100,-2.257747861,0.001303781,0.107908124
2006/7/14,70,70.29,68.8,69.19,5557000,-0.731707317,-0.014322917,2.217431475
2006/7/17,69.19,70.19,69,69.19,5693500,0,-0.024174373,-2.274781561
2006/7/18,69.6,70.15,68.06,69.47,4852200,0.404682758,-0.014620279,1.048250347
2006/7/19,69.47,71.79,68.38,71.12,5557600,2.375125954,0.016623163,0.671243326
2006/7/20,71.37,71.87,68.62,69.08,7217900,-2.868391451,-0.006486486,-1.015305349
2006/7/21,71,71.1,67.1,68.35,14444700,-1.056745802,0.010473341,-1.33190447
2006/7/24,69.45,70.56,68.22,70.52,7135300,3.174835406,-0.011172432,2.823894492
2006/7/25,70.5,71.02,69.33,70.66,5465200,0.198525241,0.004900626,1.026105327
2006/7/26,70.77,70.93,69.8,70.13,3527100,-0.750070761,0.009211596,0.821508588
2006/7/27,70.5,72.62,70.24,70.72,6082700,0.841294738,-0.016107383,0.340740741
2006/7/28,71.3,71.71,70.4,71.21,3027700,0.692873303,0.017189632,-2.480437029
2006/7/31,71,71.66,70.45,70.87,3419800,-0.477461031,0.004962446,-0.408781226
2006/8/1,70.12,70.43,69.12,69.71,4518600,-1.636799774,0.016415321,0.714502888
2006/8/2,69.92,71.21,69.92,70.75,3056500,1.491894994,-0.007484244,-0.422641509
2006/8/3,70.25,72.9,69.92,72.73,4899600,2.798586572,-0.010715703,-0.712445051
2006/8/4,73.47,74.08,72.24,73.1,5194900,0.508730923,0.03035571,0.244274809
2006/8/7,73.13,73.92,72.53,73.18,3873200,0.109439124,-0.009863725,1.781906793
2006/8/8,73.19,73.43,71.27,71.6,4140400,-2.159059852,-0.000131079,0.553643573
2006/8/9,72.3,72.35,68.4,68.52,8318200,-4.301675978,-0.027661248,0.416666667
2006/8/10,68.75,69.04,68.06,68.32,6736000,-0.291885581,0.002831333,-0.192649674
2006/8/11,68.15,68.22,66.15,67.03,7035600,-1.888173302,-0.014116698,0.742390497
2006/8/14,67.6,68.61,65.52,65.96,8324800,-1.596300164,-0.005182054,-1.179071481
2006/8/15,66.46,67.46,65.9,67.41,6886500,2.198302001,-0.017957505,-0.283370619
2006/8/16,68.17,69.55,67.66,69.11,6774900,2.521881027,-0.021217197,-2.168710739
2006/8/17,69.11,70.04,68.75,69.36,3738700,0.36174215,0.011551626,1.131325485
2006/8/18,69.75,69.75,67.69,68.31,5815800,-1.51384083,0.021429578,1.678004535
2006/8/21,68.25,68.43,67.61,68.25,3925100,-0.08783487,0.001380262,-0.550104074
2006/8/22,68.42,69.1,68.11,68.5,3696500,0.366300366,-0.015161957,-0.508297204
2006/8/23,68.75,69.21,67.08,67.21,4572100,-1.883211679,0.007977607,-1.307287754
2006/8/24,67.21,67.22,64.75,65.5,8912100,-2.544264246,0.001527354,1.598660171
2006/8/25,65.5,66.46,65.25,65.99,3964500,0.748091603,-0.023014002,0.059943054
2006/8/28,66.13,66.99,65.82,66.07,3840800,0.121230489,-0.010359018,-0.913583945
2006/8/29,66.27,66.47,65.11,65.45,4912800,-0.938398668,0.006595928,-0.634824667
2006/8/30,65.1,65.73,64.82,65.06,4252000,-0.595874714,0.002564103,-0.836629145
2006/8/31,65.3,66.56,64.95,66.35,6410100,1.982785121,-0.016197783,-1.211842307
2006/9/1,66.67,67.8,65.95,67.27,5712000,1.386586285,-0.00779896,0.667701863
2006/9/5,68.85,69.87,67.96,69.68,8504900,3.582577672,-0.013828239,2.329168595
2006/9/6,69.01,70.4,69.01,69.13,5590000,-0.789322618,-0.005608856,-1.688272535
2006/9/7,68.45,68.65,67.7,67.76,5196300,-1.98177347,-0.01588244,0.27598896
2006/9/8,68.1,68.2,67.27,67.32,4313300,-0.649350649,-0.013273002,-1.804281346
2006/9/11,67.01,67.01,65.34,65.51,7895100,-2.688651218,-0.024610211,-3.45686702
2006/9/12,65.75,66.04,64.6,65.15,12080700,-0.549534422,0.004388027,-0.983870968
2006/9/13,65.16,67.14,65.14,66.33,7132700,1.811204912,-0.012794508,1.628929793
2006/9/14,66.33,66.67,65.45,65.51,3498800,-1.236243027,0.000474158,-0.544959128
2006/9/15,66.3,66.3,65.29,65.43,6409000,-0.12211876,0.008530806,-0.419016922
2006/9/18,65.51,67.6,65.5,66.99,5674400,2.384227419,-0.032424812,1.715487943
2006/9/19,67.55,67.6,65.89,66.56,3997800,-0.641886849,-0.028654687,-1.527446301
2006/9/20,66.95,67.25,65.85,65.88,4903400,-1.021634615,0.027,-1.631927614
2006/9/21,66.37,66.39,64.23,64.54,8954100,-2.034001214,-0.02969815,1.921813403
2006/9/22,64.54,64.67,62.09,62.77,11133500,-2.74248528,0.015888945,-0.17727639
2006/9/25,62.97,64.9,62.76,64.33,7680700,2.485263661,-0.001810998,0.387471747
2006/9/26,64.36,66.55,64.29,65.9,7622500,2.440540961,0.03842982,2.267610164
2006/9/27,65.9,66.85,65.14,65.68,5032800,-0.33383915,-0.00794155,0.959270326
2006/9/28,65.64,66.59,65.17,66.59,5875900,1.385505481,0.007044508,0.514018692
2006/9/29,67,67.06,65.75,65.8,4280000,-1.186364319,-0.030842607,0.511390051
2006/10/2,65.45,66.48,65.3,65.36,4272700,-0.668693009,-0.038057743,-0.539623805
2006/10/3,65.37,65.71,64.49,65.11,5630500,-0.38249694,0.015177353,-2.433731204
2006/10/4,63.81,65.54,63.5,65.54,7107400,0.660420826,0.008231144,1.207499206
2006/10/5,65.4,68.81,65.3,68.24,12215700,4.119621605,-0.005664778,0.282574568
2006/10/6,67.51,68.11,66.54,68.05,6587800,-0.278429074,0.004189008,-0.344395742
2006/10/9,67.8,69.95,67.78,68.9,6839600,1.249081558,-0.023861171,-0.659754948
2006/10/10,69.3,69.41,68.49,69.06,4698200,0.23222061,-0.016068376,1.043643264
2006/10/11,68.8,68.81,67.52,68.32,3445200,-1.071532001,0.011640028,-1.251956182
2006/10/12,68.7,69.67,68.56,69.25,4324500,1.361241218,0.007899708,1.45800317
2006/10/13,69.45,69.45,68.68,69.08,3486100,-0.245487365,0.020787187,0.281162137
2006/10/16,69.33,70.25,69,69.93,6686300,1.230457441,-0.016691704,1.323987539
2006/10/17,69.68,70.12,68.57,69.9,6039100,-0.042900043,-0.021218808,-0.184473482
2006/10/18,70.76,70.92,68.7,69.08,6579300,-1.173104435,0.01543531,-0.508239643
2006/10/19,68.69,69.15,68.09,69.02,4939300,-0.086855819,-0.020495303,1.609907121
2006/10/20,61.96,62.28,58.82,59,67806100,-14.51753115,-0.010636443,-0.548446069
2006/10/23,60,60.63,59.16,60.42,22143300,2.406779661,0.014275643,0.551470588
2006/10/24,61.3,61.8,60.73,60.93,11653800,0.84409136,0.02675934,1.90432663
2006/10/25,61.24,62.09,60.78,61.91,11557700,1.608403086,0.019969538,1.031544327
2006/10/26,62.7,62.78,62.11,62.35,10546100,0.710709094,0.007964161,-0.118378218
2006/10/27,62.35,62.35,61.22,61.27,9045500,-1.732157177,-0.038518519,0.266666667
2006/10/30,61.17,61.19,60.49,60.76,5366100,-0.832381263,0.00530731,-1.906028369
2006/10/31,61,61.13,60.34,60.71,6959600,-0.082290981,-0.001362398,1.220063263
2006/11/1,60.71,61.02,60.06,60.5,9107900,-0.34590677,-0.013130969,-0.327380952
2006/11/2,60.5,61.12,60.25,60.56,7880100,0.099173554,0.021772939,1.209316214
2006/11/3,60.63,60.93,60.25,60.43,6515000,-0.214663144,0.016573651,1.652161086
2006/11/6,60.4,60.59,59.68,59.85,9579900,-0.959788185,-0.019464315,1.248004644
2006/11/7,59.97,60.4,59.86,59.92,7660000,0.116959064,0.016796742,-1.232621471
2006/11/8,59.92,60.4,59.54,60.1,11510300,0.300400534,0.020857667,0.870700914
2006/11/9,60.31,60.4,59,59.2,7779700,-1.49750416,-0.02484472,0.992662926
2006/11/10,59.45,59.69,58.99,59.6,5966900,0.675675676,-0.017934965,-0.94017094
2006/11/13,59.26,60.21,59.24,59.52,5139300,-0.134228188,-0.005291005,1.164797239
2006/11/14,59.9,60.44,59.66,60.36,6206900,1.411290323,0.008750858,0.042643923
2006/11/15,60.5,61.66,60.37,61.45,8616700,1.805831677,-0.043544821,-0.610969025
2006/11/16,61.65,62.11,61.31,61.37,4834100,-0.130187144,-0.005868753,-2.001429593
2006/11/17,61.37,61.37,60.45,60.94,7929700,-0.700668079,0.009302326,0.802334063
2006/11/20,60.51,61.08,60.5,60.91,3759100,-0.04922875,0.028181496,0.20260492
2006/11/21,60.55,62.4,60.2,62.19,9021500,2.101461172,-0.012584037,1.41536684
2006/11/22,62.93,63.1,61.88,62.79,7213200,0.964785335,0.052723464,-0.882939334
2006/11/24,62.45,63.33,62.12,62.87,2965900,0.127408823,0.011111111,-1.091954023
2006/11/27,62.6,63.19,61.85,61.97,5817900,-1.43152537,0.024274233,-0.130737943
2006/11/28,61.75,61.96,60.6,61.6,6687700,-0.597063095,0.008326661,1.643636364
2006/11/29,62.05,62.46,61.7,62.06,3592400,0.746753247,0.007305066,1.674298798
2006/11/30,62.15,62.7,61.61,62.03,3997000,-0.048340316,-0.016396027,1.78747361
2006/12/1,62.44,62.44,60.3,61.19,7193900,-1.35418346,0.000160282,1.092367257
2006/12/4,61.39,61.79,60.95,61.49,4954800,0.490276189,-0.003205128,0.533442757
2006/12/5,61.5,62.5,61.39,62.15,4508600,1.073345259,0.005466238,0.612244898
2006/12/6,62.3,63.1,62.04,63.05,6066400,1.448109413,-0.007675088,-0.527383367
2006/12/7,63.25,63.95,62.75,63,5392600,-0.079302141,-0.012890751,-0.326264274
2006/12/8,63,63.88,63,63.4,4098700,0.634920635,-0.003264773,-0.668303328
2006/12/11,63.6,63.66,62.66,63.07,4699700,-0.520504732,0.004585653,1.19456268
2006/12/12,63,63.3,61.56,62.28,6698400,-1.252576502,0.018584936,0.203527815
2006/12/13,62.48,62.5,61.29,61.49,5110800,-1.268464997,0.014724712,0.744752877
2006/12/14,61.69,62.47,61.51,62.12,5352800,1.024556839,-0.019085174,2.110215054
2006/12/15,62.64,62.74,61.75,61.82,5763800,-0.482936252,0.010934234,-0.776622351
2006/12/18,62.17,62.59,61.66,61.92,5307700,0.161759948,0.003340226,-2.719554258
2006/12/19,61.47,62,61.15,61.52,4305100,-0.645994832,-0.016328472,1.581890086
2006/12/20,61.4,61.89,60.9,61.37,5606100,-0.243823147,-0.003867849,-1.127668143
2006/12/21,61.15,61.53,60.38,60.81,3357700,-0.912497963,-0.011972173,-0.570264766
2006/12/22,60.81,60.89,60.35,60.59,2788000,-0.361782602,-0.012444736,-0.682780281
2006/12/26,60.5,61.13,60.49,60.9,1933100,0.511635583,0.00132648,0.494981438
2006/12/27,61,61.58,60.9,61.47,2773800,0.935960591,0.007617155,1.29976741
2006/12/28,61.38,61.85,61.27,61.31,2402500,-0.260289572,-0.001314708,0.324149109
2006/12/29,61.12,61.65,61.06,61.33,2363600,0.032621106,-0.0404805,-1.009693053
2007/1/3,61.71,62.31,60.7,61.16,6138900,-0.277188978,-0.045618247,-3.481572147
2007/1/4,61.25,61.28,60.34,61,4060200,-0.261608895,0.011500449,-0.972241792
2007/1/5,60.77,60.92,59.95,60.22,6267100,-1.278688525,-0.00373068,0.384177575
2007/1/8,60.09,60.57,59.86,60.29,3943000,0.116240452,-0.007667618,1.275690999
2007/1/9,60.46,60.7,60,60.62,3929100,0.547354453,-0.030548068,-1.147655703
2007/1/10,60.19,60.39,59.85,60.32,6825100,-0.494886176,-0.03781279,-1.727311341
2007/1/11,60.14,60.58,59.9,60,7440900,-0.530503979,0.020227317,-1.037314508
2007/1/12,59.66,59.9,59.2,59.74,6560800,-0.433333333,-0.032666163,2.416654535
2007/1/16,59.87,59.93,59.1,59.24,6843100,-0.836960161,0.020886199,-0.966595593
2007/1/17,59.36,60.68,59.25,59.91,7255600,1.130992573,-0.034225621,1.650638725
2007/1/18,59.6,60.3,59.6,59.9,7027700,-0.016691704,0.029103148,0.14120305
2007/1/19,60.1,60.2,59.28,59.37,5561700,-0.884808013,-0.016737207,1.974055274
2007/1/22,59.37,59.53,57.98,58.17,9881300,-2.02122284,0.048914107,-1.521017699
2007/1/23,58.43,59.56,58.17,59.56,8587900,2.389547877,0.011751539,1.881493962
2007/1/24,59.79,60.12,59.05,59.73,8017500,0.285426461,-0.013827434,0.385887541
2007/1/25,59.85,60.12,59.38,59.63,7482500,-0.167420057,0.035333707,-1.812191104
2007/1/26,61.26,61.42,60.5,61.09,12450800,2.448431997,-0.024738173,-0.027964206
2007/1/29,61.29,62.29,61.07,61.7,9608800,0.998526764,0.055915571,0.041958042
2007/1/30,62.15,63.16,61.96,62.88,8954000,1.912479741,0.019989479,2.152942821
2007/1/31,63.14,64.34,62.98,64.07,9639100,1.892493639,-0.014096613,-0.260024634
2007/2/1,64.8,65.25,64.45,64.99,10273000,1.435929452,0.028945074,2.181668496
2007/2/2,65,65.37,64.55,65.25,5971800,0.400061548,-0.00542281,-0.577413724
2007/2/5,65.25,65.3,64.31,64.49,5265700,-1.164750958,0.003748509,-0.351161534
2007/2/6,64.5,64.95,64.32,64.42,4873100,-0.10854396,-0.019691054,-0.555706153
2007/2/7,64.9,65.9,64.65,65.64,6546400,1.893821794,0.034805195,-0.994957067
2007/2/8,65.58,65.85,64.86,65.63,4528600,-0.015234613,0.00167336,1.5280837
2007/2/9,65.99,65.99,64.69,64.8,5576200,-1.264665549,-0.035081858,-0.583050847
2007/2/12,64.75,65.18,64.28,64.6,4977627,-0.308641975,0.021121884,-1.363884343
2007/2/13,64.61,65.18,64.31,64.73,4965188,0.20123839,-0.016615802,0.705199115
2007/2/14,64.73,66.48,65.17,66.16,7526254,2.20917658,-0.00137931,-0.878758753
2007/2/15,68,68.2,67,67.62,9566900,2.206771463,0.025207182,-1.149743732
2007/2/16,67.63,68.04,67.3,67.67,4250200,0.073942621,-0.017851128,-0.77073991
2007/2/20,67.67,68,67.01,67.93,6964300,0.384217526,0.018518519,-0.974438639
2007/2/21,67.93,68.36,67.33,68.21,7225500,0.412189018,0.014814815,-0.256702795
2007/2/22,68.25,68.43,67.33,67.78,4989400,-0.630406099,0,1.043751787
2007/2/23,67.78,67.66,67.07,67.26,3777800,-0.767187961,0.018745853,0.566011037
2007/2/26,67.51,67.77,67.07,67.26,3990310,0,0.0008142,0.478401576
2007/2/27,66.05,66.17,63.51,64.83,10824700,-3.612845674,0.005206638,-3.963030388
2007/2/28,64.67,65.06,63.01,64.43,9558400,-0.616998303,0.003075429,-0.087489064
2007/3/1,64.42,64.29,62.75,63.9,7994165,-0.822598169,-0.006293368,-1.342673672
2007/3/2,63.4,64.16,62.94,63.04,6037500,-1.345852895,-0.024845729,-1.198224852
2007/3/5,62.52,63.8,62.34,63.17,6722500,0.206218274,0.010158201,-0.539002845
2007/3/6,63.56,64.13,63.19,63.62,5360600,0.712363464,0.01961754,1.866626524
2007/3/7,63.73,64.65,63.63,64.23,5284300,0.958817982,-0.003556993,0.975321413
